Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
89.6,0.732902,1.129502,-0.923656,-3.278497,-1.053643,-1.841731,-2.347363,2.685606,0.408283,0.544219,-0.423475,-0.226013,1.20033,-0.038206,0.593591,-0.206893,-0.339618,-1.307909,-1.714049,-0.210218,0.041849,-0.87171,-0.021196,0.029663,-1.054048,-0.389775,0.147822,0.116118,9.36,0
98.2,-2.30735,0.30692,1.916067,1.407365,-0.166574,-0.788627,-1.020937,0.729452,0.291933,0.902146,0.180716,1.070458,0.117715,0.927095,0.974031,-0.849223,-1.79475,1.434877,0.222438,-1.377939,-0.528755,0.523159,-0.171949,-0.282582,0.684876,-0.446067,-0.2897,0.063416,2.46,0
184.5,0.78091,0.961435,1.707728,0.359648,0.855516,-0.436816,0.101711,0.167674,0.321851,1.107307,0.760755,0.05781,-1.006912,0.079952,-0.031338,0.203914,2.190181,-0.486915,0.365984,0.858727,0.072594,1.584539,-0.232424,0.178849,-0.390527,-0.149723,0.090354,0.253891,212.93,0
213.1,0.63819,2.438952,-0.177972,-0.601594,4.726967,0.664363,-1.167159,-1.082537,-1.410528,1.342416,-0.499332,0.166515,-0.079033,0.864245,-0.947099,-1.135326,0.222636,0.55867,0.288195,-0.650561,0.501841,-0.504172,-0.32065,-0.520923,0.636122,0.269791,0.21959,0.374163,24.17,0
287.0,5.625298,-3.310834,-1.383772,-1.115962,-1.487359,-1.815927,-0.486104,-1.897001,0.501323,0.074101,0.659187,0.663808,0.750409,-0.441176,2.372538,0.247455,-1.848689,-0.931838,-1.508436,0.013932,-0.090226,-0.317489,1.236347,0.302957,0.354981,-0.396568,-0.362653,0.011042,354.92,0
399.0,0.346014,-3.595744,-0.337909,0.025486,-0.376113,-1.370713,-0.875246,-0.275769,0.135864,0.866868,1.481173,-0.384832,-0.567661,0.517082,0.683241,-0.458323,0.784539,0.910652,1.119462,1.429243,-0.64179,0.00942,0.006934,-0.054122,-0.317417,-0.632739,0.033639,-0.230507,266.53,0
692.5,0.171987,-1.538092,-2.060841,0.42434,0.263833,0.976197,3.545957,0.432366,0.725826,-1.544505,-1.76354,2.069403,-1.149219,-1.233401,-0.043733,-0.095203,-0.895821,-0.283512,1.065459,-0.64778,-1.03235,0.638869,0.302671,-0.342434,-0.773504,-0.317154,-0.019856,0.349702,109.85,0
744.0,-2.073164,-0.163718,1.265271,-4.31274,1.807211,-1.992648,0.53857,0.384643,1.622863,0.789658,-3.257768,-1.026026,0.171989,-0.230365,0.534216,0.83322,0.603945,-0.199196,-1.600159,-0.366072,0.308421,-0.739081,0.388117,0.501299,0.062024,-1.304943,-0.463899,0.565857,4.56,0
777.6,-1.093076,-3.843359,2.314945,0.024188,1.9316,0.466727,0.743885,0.566026,1.043649,3.264317,1.330638,-2.066147,0.555845,1.348638,1.345243,-0.450305,1.156315,0.862457,2.229515,-0.602779,-0.375852,-0.207481,-0.301396,-0.49116,-1.350641,-0.18515,0.134063,-0.147967,29.92,0
798.1,3.870762,0.025909,2.419484,0.473461,1.444682,0.470574,2.220473,0.087224,0.742344,0.525077,-0.395058,0.529477,2.78057,-0.319469,0.469179,1.327656,1.131807,0.010892,-2.065604,0.415276,-1.644055,0.996291,0.104195,0.551672,-0.441032,-0.661253,0.094644,-0.010081,126.4,0
819.3,-0.983082,0.163992,5.18638,1.511418,1.834679,1.42219,2.400016,-0.296371,-3.074532,-0.270307,1.112379,-1.267924,-0.219478,-0.817313,1.680048,0.791094,0.646714,0.577859,-0.032283,0.158777,-0.877915,-1.481922,0.092272,0.178795,0.591196,0.669273,0.569851,-0.299407,39.12,0
938.3,-0.70453,0.930425,4.744977,2.680624,1.956872,-0.653495,-1.432746,1.230112,-1.646915,-0.341759,-0.157288,2.082585,-0.441401,-2.881928,0.564231,-0.737856,0.042315,-0.080603,-0.23721,0.6352,-1.135455,-0.350421,0.420557,-0.338884,-0.786528,0.284755,0.407642,-0.013499,15.74,0
945.8,-3.921691,1.36749,-3.110753,0.55927,-1.551418,-1.954544,-0.716876,-0.285808,-0.963926,0.843808,-0.61128,1.281509,0.349904,-0.824151,-0.96857,-1.739024,0.28858,-0.329635,-2.055903,-0.430556,-0.667433,1.067959,-1.046894,-0.795412,0.542652,0.577881,-0.270401,-0.189626,37.41,0
1263.9,1.232471,-4.507678,-3.488015,-0.508439,2.709438,-0.734286,0.163742,1.767871,3.152524,-0.826816,-0.023073,2.382168,-1.894292,1.214068,-1.139005,0.108165,-0.240822,-0.890596,-0.852022,0.222155,0.737437,-0.087932,0.043107,0.315203,-0.475014,0.315054,0.297391,0.781088,41.98,0
1297.2,-0.752208,-0.887321,1.441099,1.483489,-0.935412,-0.679404,0.877834,-1.290418,-0.61428,0.128416,1.364805,-0.790457,-2.292745,-2.264424,-1.408677,-1.386121,-0.153465,-1.105218,-0.609054,-0.622136,-0.326302,0.896364,0.406975,0.008901,-0.225391,-0.184525,0.11896,0.175251,4.17,0
1600.1,-1.815235,0.070665,-3.807406,0.383437,1.33235,-0.471968,2.94681,-1.374079,0.325355,-0.051349,-0.137445,-0.149466,0.133286,1.001848,1.541023,-0.002375,0.809277,-0.652383,0.663828,-0.612415,0.807896,1.498323,-0.075059,-1.209959,-0.267947,0.524688,0.200746,0.074674,12.43,0
1853.7,2.017337,0.938404,2.282107,1.665178,2.660158,0.604638,1.468532,-0.478891,-0.899964,2.446367,0.29628,1.052307,0.153988,-0.692957,0.012285,1.515771,0.551127,-1.591036,-0.186545,1.432436,-0.158368,-1.220324,1.163874,0.37658,-0.034229,-0.158196,0.392854,-0.162595,53.72,0
1903.7,2.296513,1.050252,0.458552,0.263543,-0.30587,1.762097,-1.403778,-2.529002,0.919384,0.904775,0.658108,0.533067,-0.398895,0.930396,-0.050958,-0.514175,-0.309581,1.878447,-1.503646,0.401682,-1.243786,-0.073358,-0.266601,-1.150627,0.190196,-0.161868,-0.761934,0.25187,70.05,0
2082.6,2.870012,2.886426,0.672711,0.083416,2.321815,2.835128,1.8389,-1.468101,0.301272,0.629973,-2.479845,0.613646,2.828612,0.756073,1.64804,0.193077,-0.072676,0.354441,-0.70705,-0.77459,0.938003,0.930143,-0.609347,0.534192,-0.042514,0.144733,0.167042,0.298305,32.85,0
2125.9,0.165436,2.731536,0.579863,1.130467,-1.456666,3.63774,0.76216,1.111748,-2.406322,-1.179206,1.696359,0.375084,-2.381593,1.22672,-0.608231,1.489723,-0.087185,0.190301,1.021761,-0.721318,-0.735442,-0.133182,0.508558,-0.734447,-0.815484,0.350844,-0.218859,-0.117668,15.04,0
2154.8,-3.713621,-1.315208,-0.014182,1.685018,-1.348225,2.792986,-1.110502,-1.065117,2.300342,0.303093,-0.756478,-0.202822,1.683825,1.732291,-0.913598,-0.044791,0.089489,-0.916838,-0.04826,0.004278,0.8446,0.818366,-0.202403,-0.11807,0.324765,-0.249247,0.213655,-0.026372,19.48,0
2380.7,-1.938797,-1.853428,2.711895,-0.283297,2.867582,-0.865572,0.4724,3.730803,-1.582164,-2.720201,1.763105,-1.080976,-0.025768,-0.692252,0.299945,-1.003344,-0.178607,0.418162,-0.873868,-0.56266,-0.257321,-0.968419,-0.259797,0.065558,-0.195335,-0.115586,-0.007224,-0.196723,9.92,0
2408.2,1.382125,2.781543,-0.870283,0.878748,-0.418886,0.615914,2.540042,0.793132,-2.653554,0.650727,1.68948,-0.289716,1.239012,-0.815359,-1.661603,0.149012,-1.743466,-0.222898,1.115263,-1.534884,-0.947775,-0.699489,-0.03893,-0.201821,0.684022,0.406482,0.179766,0.043689,21.65,0
2537.2,0.78646,-1.669692,1.606476,-2.014036,1.460363,1.99887,0.342069,-0.274762,0.598982,-4.10151,0.414206,-0.1482,-0.063004,0.834755,-0.08363,-1.203552,-0.140355,0.062802,0.099609,0.130135,0.769903,-0.73609,0.108023,0.71185,-0.848032,0.076516,-0.212471,-0.111213,68.04,0
2731.2,-1.809615,-0.328426,3.450649,-2.290024,-2.044652,-2.194001,2.802256,-0.720907,-0.038364,-0.577322,-1.294209,-0.307438,3.059148,1.644706,-0.954027,0.68355,-0.825363,-1.651364,0.883576,0.932371,0.774854,-0.318464,-0.102536,0.41376,0.191398,-0.16766,-0.587663,0.034163,452.07,0
2804.6,2.158019,-2.319773,1.197082,0.600459,1.31137,1.46944,-1.126577,-2.521259,-0.798303,1.274416,-0.742746,-0.907397,-2.266569,2.070721,0.923576,0.812668,0.960557,0.536125,-0.211752,-0.131618,-0.316714,1.785769,0.341783,-0.255949,0.227576,-0.430555,0.54608,-0.198321,5.78,0
2865.0,1.002171,2.064838,0.721085,0.171096,0.018884,-0.095114,-0.935533,-0.700861,2.213906,-0.155569,-1.076832,-0.675011,1.36935,0.798217,0.626739,-0.271828,0.569115,-0.598273,-0.224999,0.779435,0.647613,-0.665517,-0.52599,0.059987,0.843887,-0.815889,0.101025,-0.412813,112.18,0
3053.2,-1.268662,-0.705911,-0.788064,-0.966764,0.012599,-0.902005,-2.372431,1.216019,1.12652,1.20855,-2.111377,0.390808,0.841218,-1.218346,0.01026,-0.122726,1.828505,1.789069,-1.442442,2.004378,-0.677945,0.664679,0.596677,-0.549473,0.241153,-0.045801,0.201201,0.069202,38.84,0
3082.2,2.392679,0.146052,-0.314608,1.985094,1.014618,1.233241,-1.078107,-1.629836,-0.849481,-0.889844,1.077384,1.276009,-0.193051,1.690604,1.530658,0.256921,-0.815804,1.464517,-0.052882,0.101399,-0.251559,-0.60308,-0.902941,0.34925,-0.382996,1.303134,-0.394204,-0.377215,3.59,0
3086.4,1.020277,2.962337,0.121046,1.036395,-3.222794,-1.141732,-1.741643,-2.954868,0.175037,-3.21472,-1.811898,-0.702331,-1.034489,0.468349,0.341797,0.943454,0.746811,1.060533,-0.001663,0.243897,0.378899,0.096012,-0.244201,-0.183459,-0.399695,0.179578,-0.034124,-0.198952,21.82,0
3138.1,-1.32449,-2.344587,1.834421,0.142385,-1.508302,1.362553,-0.909173,-2.193099,1.528051,-0.769839,-0.560343,0.053839,1.421889,0.023674,-1.341235,0.574092,-0.481397,1.75507,-0.00097,-1.796306,0.264715,1.318005,0.968899,1.010416,-0.498549,0.388509,-0.262057,0.067287,19.72,0
3186.1,-2.545905,-1.248335,-1.267336,1.627383,1.399776,0.466493,-2.190684,-0.485927,-1.116411,1.246535,1.61455,1.381126,-0.939829,-3.236708,-1.97638,1.500606,-0.398283,-0.697896,1.423639,1.016814,0.01811,-0.198862,-0.081218,0.12536,0.782245,0.17994,0.263522,0.350781,24.48,0
3289.1,-2.339352,1.462195,-0.552044,-4.556928,-3.720356,-1.715717,0.861762,0.177443,0.275867,2.796352,-1.739123,-0.035867,0.378853,-0.869893,0.031684,-1.688835,1.399462,-0.633649,1.760547,-0.0261,0.761521,-0.036128,-0.018902,-0.322298,0.058238,0.135444,-0.284657,-0.037513,86.26,0
3415.6,-1.220198,4.454534,-0.168162,2.798587,-0.341977,0.436948,-2.143546,-0.697102,0.315022,2.273272,0.304199,1.809086,0.797352,1.922745,-0.06604,2.523013,-0.481801,-0.712526,-1.048712,1.873453,0.606998,-0.22646,0.767918,0.379504,0.961218,-0.659262,-0.096316,-0.138756,262.39,0
3654.4,-3.947365,2.053893,-0.506743,1.339554,4.125231,-0.595281,-0.683204,0.185028,1.477215,-0.812289,-0.864651,1.382177,0.471196,-2.415809,-1.370623,1.584638,0.398951,-0.70856,-0.147688,0.010638,0.544988,-0.920601,-0.517028,0.150631,-0.048808,0.24357,-0.446266,0.107139,116.06,0
